strain,sample_date,host,accession,country,genotype
,18-MAY-2021,,D10330.1,,1a
SAR-55,02-AUG-1993,,M80581.1,,1b
,18-AUG-2023,,L08816.1,,1b
mexican,16-OCT-2020,,M74506.1,,2a
,18-AUG-2023,,M73218.1,,1a
K52-87,26-APR-1995,,L25595.1,,1b
HeBei,04-APR-1996,,M94177.1,,1b
,01-APR-2005,,L25547.1,,1b
,17-JUN-1998,Homo sapiens,X98292.1,,1c
,18-MAY-2021,,D11093.1,,1b
,17-FEB-1997,humna,X99441.1,,1a
TK15/92,18-DEC-1998,,AF051830.1,Nepal,1a
Meng,22-DEC-2021,,AF082843.1,,3a
HEV-US1,26-JUL-2016,,AF060668.1,,3a
HEV-US2,03-MAR-1999,,AF060669.1,,3a
,24-MAY-2000,,AJ272108.1,China,4d
Abb-2B,14-JUL-2016,,AF185822.1,Pakistan,1a
,08-FEB-2001,,AF076239.3,India: Hyderabad,1a
,18-MAY-2021,Homo sapiens,AP003430.1,,3b
swJ570,16-JAN-2009,,AB073912.1,Japan,3b
Sar-55,21-DEC-2001,,AF444002.1,,1b
Sar-55,21-DEC-2001,,AF444003.1,,1b
,18-MAY-2021,Homo sapiens,AB074918.2,Japan: Sapporo,3a
,27-JUN-2002,,AF459438.1,"India: Yamuna Nagar (Haryana), North India",1a
,18-MAY-2021,Homo sapiens,AB080575.1,Japan,4c
,18-MAY-2021,Homo sapiens,AB074915.3,Japan: Saitama,4c
,18-MAY-2021,Homo sapiens,AB074917.3,Japan: Sapporo,4c
,18-MAY-2021,Homo sapiens,AB074920.3,Japan: Sapporo,3a
Arkell,05-NOV-2002,,AY115488.1,Canada: Ontario,3j
,18-MAY-2021,Homo sapiens,AB089824.1,Japan: Tokyo,3a
,18-MAY-2021,Homo sapiens,AB091394.1,Japan:Kanagawa,3b
,18-MAY-2021,Homo sapiens,AB091395.1,"Japan: Hokkaido, Sapporo",4c
Osh 205,01-NOV-2004,,AF455784.1,Kyrgyzstan: Osh,3g
,31-MAR-2003,,AY230202.1,Morocco,1d
,09-JAN-2009,,AB097811.1,Japan: Hokkaido,4c
,18-MAY-2021,Homo sapiens,AB097812.1,Japan: Hokkaido,4c
,18-MAY-2021,,AB108537.1,China:Changchun,4g
,18-MAY-2021,Homo sapiens,AB099347.1,Japan: Tochigi,4c
T3,25-JUL-2016,,AY204877.1,Chad,1e
swCH25,04-MAY-2004,pig,AY594199.1,China:Xinjian,4d
,14-JAN-2005,,AY575859.1,USA,3a
,18-MAY-2021,,AB161717.1,"Japan:Hokkaido, Sapporo",4c
,18-MAY-2021,,AB161718.1,"Japan:Hokkaido, Sapporo",4c
,18-MAY-2021,,AB161719.1,"Japan:Hokkaido, Sapporo",4c
,18-MAY-2021,,AB189070.1,"Japan: Hyogo, Taka-gun",3b
,18-MAY-2021,,AB189071.1,"Japan: Hyogo, Taka-gun",3b
,18-MAY-2021,,AB189072.1,"Japan: Hyogo, Kasai",3b
,18-MAY-2021,,AB189073.1,"Japan: Hyogo, Kasai",3b
,18-MAY-2021,,AB189074.1,"Japan: Hyogo, Kasai",3b
,18-MAY-2021,,AB189075.1,"Japan: Hyogo, Kasai",3b
,16-MAY-2006,,AY723745.1,India,4e
,18-MAY-2021,Homo sapiens,AB200239.1,"Japan: Hokkaido, Sapporo",4c
,18-MAY-2021,Homo sapiens,AB193176.1,Japan: Tottori,4c
,18-MAY-2021,Homo sapiens,AB193177.1,"Japan: Hokkaido, Sapporo",4c
,18-MAY-2021,Homo sapiens,AB193178.1,Japan: Niigata,4c
,18-MAY-2021,Homo sapiens,AB197673.1,China: Xian,4a
